experiment,process_create,process_term,reg_create_key,reg_write,file_create,image_load,reg_delete_key,net_connect,reg_delete_value,year,label,test
E1218,13.0,8.0,508.0,75.0,409.0,948.0,0.0,38.0,10.0,2017.0,malicious,True
E1219,0.0,1.0,0.0,0.0,6.0,21.0,0.0,0.0,0.0,2020.0,malicious,False
E122,6.0,3.0,10.0,4.0,88.0,241.0,0.0,110.0,0.0,2017.0,malicious,True
E1220,1.0,1.0,0.0,1.0,71.0,59.0,0.0,0.0,0.0,2017.0,malicious,False
E1221,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2024.0,benign,False
E1222,0.0,0.0,2.0,1.0,4963.0,36.0,0.0,9.0,0.0,2017.0,malicious,False
E1223,6.0,4.0,8.0,4.0,88.0,241.0,0.0,108.0,0.0,2017.0,malicious,True
E1224,0.0,0.0,0.0,0.0,7.0,23.0,0.0,0.0,0.0,2017.0,benign,False
E1225,1.0,2.0,111.0,0.0,68.0,122.0,0.0,3.0,0.0,2017.0,malicious,False
E1226,1.0,2.0,111.0,0.0,57.0,111.0,0.0,3.0,0.0,2017.0,malicious,False
E1227,1.0,2.0,3.0,3.0,23.0,78.0,0.0,0.0,0.0,2023.0,benign,False
E1228,19.0,18.0,14.0,13.0,105.0,440.0,2.0,0.0,4.0,2017.0,malicious,False
E1229,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,2021.0,benign,False
E123,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1230,7.0,2.0,1.0,2.0,69.0,224.0,0.0,0.0,0.0,2017.0,malicious,True
E1231,0.0,0.0,0.0,0.0,17.0,44.0,0.0,0.0,0.0,2023.0,benign,False
E1232,1.0,2.0,111.0,0.0,56.0,103.0,0.0,3.0,0.0,2017.0,malicious,True
E1233,43.0,37.0,18.0,18.0,538.0,842.0,0.0,17.0,1.0,2017.0,malicious,False
E1234,0.0,0.0,8.0,8.0,460.0,35.0,0.0,0.0,0.0,2017.0,malicious,False
E1235,0.0,0.0,3.0,7.0,17.0,56.0,0.0,3.0,0.0,2021.0,malicious,False
E1236,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2023.0,benign,False
E1237,0.0,0.0,4.0,0.0,3.0,94.0,0.0,0.0,0.0,2024.0,benign,True
E1238,0.0,0.0,4.0,8.0,49.0,91.0,0.0,6.0,0.0,2022.0,malicious,False
E1239,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,malicious,True
E124,2.0,3.0,118.0,25.0,56.0,133.0,2.0,3.0,0.0,2017.0,malicious,True
E1240,0.0,1.0,0.0,0.0,17.0,47.0,0.0,0.0,0.0,2024.0,benign,True
